"BehaviorSpace results (NetLogo 5.1.0)"
"kase-hampejs_simulation1.nlogo"
"experiment"
"01/20/2015 17:53:08:343 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-4","4","-4","4"
"[run number]","prestige_influence","rigidity_effect_start","prophets_limit","number_of_planned_weeks_for_stay","high_prestige_closeness","[step]","count turtles","count practices with [attraction = 1]","count practices with [attraction = 2]","count practices with [attraction = 3]","count practices with [attraction = 4]","count practices with [attraction = 5]","count practices with [attraction = 6]","count practices with [attraction = 7]","count practices with [attraction = 8]","count practices with [attraction = 9]","count practices with [attraction = 10]"
"167","2","25","0","0","false","200","81","37","5","9","0","0","0","0","0","0","0"
"168","2","25","0","0","false","200","81","48","4","0","1","0","0","0","0","0","0"
"169","2","25","0","0","false","200","81","36","8","4","0","0","0","0","0","0","0"
"170","2","25","0","0","false","200","81","36","23","1","0","0","0","0","0","0","0"
"171","2","30","0","0","false","200","81","51","5","0","0","0","0","6","0","0","0"
"172","2","30","0","0","false","200","81","50","1","2","0","0","0","0","0","0","0"
"173","2","30","0","0","false","200","81","24","8","5","0","0","0","0","0","0","0"
"174","2","30","0","0","false","200","81","34","4","1","0","2","0","0","0","0","0"
"175","2","30","0","0","false","200","81","2","42","8","5","0","0","0","0","0","0"
"176","2","30","0","0","false","200","81","7","2","5","0","0","0","0","0","0","0"
"177","2","30","0","0","false","200","81","30","5","0","0","1","0","0","0","0","0"
"178","2","30","0","0","false","200","81","36","15","2","0","0","0","0","0","0","0"
"179","2","30","0","0","false","200","81","17","4","3","0","0","0","0","0","0","0"
"180","2","30","0","0","false","200","81","12","10","11","0","0","0","0","0","0","0"
"181","3","5","0","0","false","200","81","6","19","7","30","0","0","0","0","0","0"
"182","3","5","0","0","false","200","81","16","13","19","20","8","0","0","0","0","0"
"183","3","5","0","0","false","200","81","10","7","30","5","6","0","0","0","0","0"
"184","3","5","0","0","false","200","81","39","11","20","11","0","0","0","0","0","0"
"185","3","5","0","0","false","200","81","16","21","16","16","0","0","0","0","0","0"
"186","3","5","0","0","false","200","81","16","12","10","9","9","0","0","0","5","0"
"187","3","5","0","0","false","200","81","12","22","19","13","7","0","0","5","0","0"
"188","3","5","0","0","false","200","81","31","7","24","5","0","0","0","0","0","0"
"189","3","5","0","0","false","200","81","16","10","7","16","6","0","0","0","0","0"
"190","3","5","0","0","false","200","81","36","14","5","7","0","0","0","0","0","0"
"191","3","10","0","0","false","200","81","17","5","5","22","0","0","0","0","10","0"
"192","3","10","0","0","false","200","81","5","18","20","10","10","0","0","0","0","0"
"193","3","10","0","0","false","200","81","10","8","11","4","11","9","0","0","0","0"
"194","3","10","0","0","false","200","81","11","13","8","19","0","0","0","0","0","0"
"195","3","10","0","0","false","200","81","14","12","16","3","0","12","0","0","0","0"
"196","3","10","0","0","false","200","81","39","27","5","5","0","0","0","0","0","0"
"197","3","10","0","0","false","200","81","14","27","7","3","0","0","3","0","0","0"
"198","3","10","0","0","false","200","81","7","9","12","10","0","10","0","0","0","0"
"199","3","10","0","0","false","200","81","11","8","21","18","9","7","0","0","0","0"
"200","3","10","0","0","false","200","81","22","15","15","5","0","0","0","0","0","0"
"201","3","15","0","0","false","200","81","23","10","10","14","0","0","0","0","0","0"
"202","3","15","0","0","false","200","81","11","39","7","1","0","0","0","4","0","0"
"203","3","15","0","0","false","200","81","21","2","15","6","10","0","0","0","0","0"
"204","3","15","0","0","false","200","81","16","22","7","3","9","0","0","0","0","0"
"205","3","15","0","0","false","200","81","26","11","4","19","0","0","0","0","0","0"
"206","3","15","0","0","false","200","81","5","24","8","3","0","0","6","0","0","0"
"207","3","15","0","0","false","200","81","5","27","4","6","7","0","10","0","0","0"
"208","3","15","0","0","false","200","81","7","25","19","11","0","0","0","0","0","0"
"209","3","15","0","0","false","200","81","23","9","7","12","0","0","23","0","0","0"
"210","3","15","0","0","false","200","81","14","13","12","14","0","0","0","0","7","0"
"211","3","20","0","0","false","200","81","25","33","0","0","0","6","0","0","0","0"
"212","3","20","0","0","false","200","81","20","28","8","3","0","0","0","0","0","0"
"213","3","20","0","0","false","200","81","9","7","2","0","0","11","0","0","28","0"
"214","3","20","0","0","false","200","81","8","19","24","0","0","4","0","0","0","0"
"215","3","20","0","0","false","200","81","43","13","0","8","0","9","0","0","0","0"
"144","2","15","0","0","false","200","81","15","19","22","2","0","0","0","0","0","0"
"216","3","20","0","0","false","200","81","5","28","8","0","13","0","0","0","0","0"
"218","3","20","0","0","false","200","81","4","35","24","0","0","0","0","0","0","0"
"219","3","20","0","0","false","200","81","18","16","17","0","18","0","0","0","0","0"
"220","3","20","0","0","false","200","81","8","6","12","1","0","0","0","0","0","0"
"221","3","25","0","0","false","200","81","20","17","0","0","15","18","0","0","0","0"
"222","3","25","0","0","false","200","81","11","12","20","0","0","8","8","0","0","0"
"223","3","25","0","0","false","200","81","33","7","12","0","0","0","0","8","0","0"
"224","3","25","0","0","false","200","81","45","21","0","0","0","13","0","0","0","0"
"225","3","25","0","0","false","200","81","29","24","0","0","5","0","0","0","0","0"
"226","3","25","0","0","false","200","81","32","17","14","0","0","0","0","13","0","0"
"227","3","25","0","0","false","200","81","2","25","0","11","17","0","0","0","0","0"
"228","3","25","0","0","false","200","81","13","32","0","0","0","11","1","0","9","0"
"229","3","25","0","0","false","200","81","19","8","0","0","0","0","0","0","17","0"
"230","3","25","0","0","false","200","81","5","4","8","0","9","0","0","8","6","0"
"231","3","30","0","0","false","200","81","22","6","0","9","0","0","9","0","0","0"
"232","3","30","0","0","false","200","81","3","2","0","0","16","0","12","0","13","0"
"233","3","30","0","0","false","200","81","34","17","1","0","0","0","0","0","0","0"
"234","3","30","0","0","false","200","81","19","4","0","0","0","0","26","0","0","0"
"235","3","30","0","0","false","200","81","28","3","4","0","0","0","0","8","0","0"
"236","3","30","0","0","false","200","81","34","15","0","0","0","0","0","0","0","0"
"237","3","30","0","0","false","200","81","65","0","0","0","1","0","0","4","0","0"
"238","3","30","0","0","false","200","81","3","22","0","9","0","0","0","0","0","0"
"239","3","30","0","0","false","200","81","3","6","1","0","0","21","11","0","0","0"
"240","3","30","0","0","false","200","81","44","12","0","0","0","19","0","0","0","0"
"217","3","20","0","0","false","200","81","24","16","1","15","0","0","16","0","0","0"
